CITIZENSHIP	GENDER	Race	DEGREE	INST1	INST1_MAJOR	O_INST1_GPA	O_GRE_V	O_GRE_Q	O_TOEFL_SCORE	PERM_CITY	PERM_STATE	PERM_ZIP
US	F	B	Dcal	MIssissippiSaeUivesiy	Psychlgy	3.8	360	580	0	Pace	MS	38764
US	M	W	Dcal	SpigHillCllege	Mahemaics	2.9	480	740	0	Mbile	AL	36695
0	F	W	Dcal	GACllege&SaeUivesiy	Psy.	3.5	500	420	0	0	0	0
0	F	B	Dcal	ClakAlaaUivesiy	Psychlgy	0	480	590	0	0	0	0
0	F	W	Dcal	LusiaaSaeUivesiy	Psychlgy	0	450	600	0	0	0	0
0	F	B	Dcal	PeppedieUivesiy	0	0	350	500	0	0	0	0
0	F	W	Dcal	AubuUivesiyMgmey	JusiceadPublicSafey	4	390	450	0	0	0	0
0	F	B	Dcal	DepauwUivesiy	psychlgy	0	450	440	0	0	0	0
0	F	N	Dcal	GegeWashigUivesiy	MaealadChildHealh	0	510	730	0	0	0	0
0	F	W	Dcal	PeSaeUivesiy	Psychlgy	0	480	500	0	0	0	0
US	F	N	Mase	AubuUivesiy	Psychlgy	3	390	380	0	Besseme	AL	35020
US	F	W	Dcal	MeedihCllege	PsychlgyadSpaish	3.7	670	630	0	Geeville	NC	27858
US	F	B	Dcal	AgesScCllege	Psychlgy	3	480	360	0	SeMi	GA	30083
US	F	W	Dcal	UivesiyfWIMilwaukee	Psychlgy	3.7	610	650	0	Milwaukee	WI	53211
US	F	W	Dcal	ClliCuyCmmuiyCllege	Busiess	2.9	410	540	0	RyseCiy	TX	75189
US	F	W	Dcal	LycmigCllege	PsychlgyadBusiessAdmiisai	3.8	480	580	0	Buffal	NY	14216
US	F	W	Dcal	TySaeUivesiy	Psychlgy	4	460	360	0	Fs	GA	30241
US	F	W	Dcal	DuyUivesiy	PsychlgyadSpaish	3.9	550	710	0	Sedalia	0	65301
US	F	H	Dcal	PeppedieUivesiy	CliicalPsychlgy	3.9	610	570	0	Kewd	MI	49508
US	M	W	Dcal	WeseMichigaUivesiy	PsychlgyadAppliedSaisics	3.2	350	510	0	Kalamaz	MI	49008
US	F	W	Dcal	AubuUivesiy	Psychlgy	3	430	550	0	Mbile	AL	36695
